timestamp,equipment_id,temperature,vibration,pressure,oil_level,is_failure
2025-01-30T12:48:03.057200,EQ001,67.29,3.93,96.63,79.66,0
2025-03-17T07:48:03.057200,EQ002,72.9,3.35,102.17,94.28,0
2025-01-26T15:48:03.057200,EQ002,72.88,3.56,93.26,88.39,0
2024-10-27T16:48:03.057200,EQ005,82.26,4.51,88.67,84.18,0
2025-04-10T10:48:03.057200,EQ002,64.17,2.79,90.94,87.36,0
2025-02-24T20:48:03.057200,EQ004,84.12,3.82,83.24,74.92,0
2025-03-09T08:48:03.057200,EQ005,68.0,2.95,92.82,91.16,0
2025-03-29T13:48:03.057200,EQ002,83.12,5.06,108.4,72.49,0
2024-11-13T21:48:03.057200,EQ005,67.11,2.91,91.61,89.97,0
2024-11-24T20:48:03.057200,EQ003,68.19,3.01,103.6,93.84,0
2025-01-18T22:48:03.057200,EQ004,65.13,2.17,91.17,86.55,0
2024-11-22T01:48:03.057200,EQ003,61.62,2.72,93.62,84.81,0
2025-03-02T02:48:03.057200,EQ004,86.23,3.68,93.48,85.51,0
2024-12-24T01:48:03.057200,EQ002,72.8,3.17,103.17,99.11,0
2025-01-17T03:48:03.057200,EQ004,68.52,2.28,95.92,91.06,0
2025-01-21T02:48:03.057200,EQ003,75.86,4.46,84.6,73.16,0
2025-02-26T11:48:03.057200,EQ002,64.36,2.8,91.21,87.62,0
2025-03-08T23:48:03.057200,EQ001,66.85,3.3,99.65,94.77,0
2025-03-07T15:48:03.057200,EQ001,68.45,3.38,102.04,97.04,0
2024-11-17T21:48:03.057200,EQ001,74.41,4.6,88.54,81.54,0
2024-11-04T22:48:03.057200,EQ001,87.41,6.2,118.93,75.25,0
2025-02-10T03:48:03.057200,EQ004,75.75,3.31,99.35,72.11,0
2025-01-16T13:48:03.057200,EQ003,64.61,3.07,92.11,82.75,0
2025-03-26T14:48:03.057200,EQ004,64.22,2.14,89.9,85.35,0
2024-11-23T04:48:03.057200,EQ001,95.46,6.98,128.61,76.77,0
2024-10-31T05:48:03.057200,EQ002,61.62,2.68,87.33,83.89,0
2025-03-24T14:48:03.057200,EQ002,78.71,4.57,81.75,74.96,0
2025-02-09T18:48:03.057200,EQ003,70.81,3.13,107.58,97.45,0
2025-04-08T13:48:03.057200,EQ002,64.38,2.8,91.24,87.64,0
2024-12-06T15:48:03.057200,EQ001,69.21,3.42,103.16,98.11,0
2025-01-15T09:48:03.057200,EQ005,72.09,3.13,98.4,96.64,0
2025-02-27T23:48:03.057200,EQ004,82.79,3.53,89.8,82.15,0
2025-03-01T23:48:03.057200,EQ005,70.82,3.6,83.39,80.26,0
2024-11-22T20:48:03.057200,EQ002,70.09,3.05,99.34,95.43,0
2025-03-26T20:48:03.057200,EQ004,77.17,2.57,108.03,102.56,0
2024-12-06T03:48:03.057200,EQ004,69.64,2.32,97.49,92.55,0
2024-11-11T08:48:03.057200,EQ001,83.79,5.52,116.58,83.15,0
2024-11-25T06:48:03.057200,EQ001,74.28,4.87,103.48,74.28,0
2024-12-22T23:48:03.057200,EQ001,69.12,3.41,103.04,97.99,0
2024-12-21T19:48:03.057200,EQ005,68.19,2.96,93.08,91.42,0
2024-10-21T23:48:03.057200,EQ002,72.95,3.18,103.39,99.32,0
