timestamp,equipment_id,temperature,vibration,pressure,oil_level,is_failure
2024-10-14T10:33:05.076159,EQ001,65.62,2.23,97.34,92.32,0
2024-10-14T11:33:05.076159,EQ001,71.27,2.42,105.72,100.26,0
2024-10-14T12:33:05.076159,EQ001,67.48,2.29,100.1,94.93,0
2024-10-14T13:33:05.076159,EQ001,69.18,2.35,102.63,97.33,0
2024-10-14T14:33:05.076159,EQ001,74.37,2.53,110.33,104.63,0
2024-10-14T15:33:05.076159,EQ001,67.97,2.31,100.83,95.62,0
2024-10-14T16:33:05.076159,EQ001,63.88,2.17,94.76,89.86,0
2024-10-14T17:33:05.076159,EQ001,66.69,2.27,98.93,93.82,0
2024-10-14T18:33:05.076159,EQ001,62.61,2.13,92.88,88.08,0
2024-10-14T19:33:05.076159,EQ001,64.74,2.2,96.03,91.07,0
2024-10-14T20:33:05.076159,EQ001,73.68,2.5,109.29,103.65,0
2024-10-14T21:33:05.076159,EQ001,70.2,2.38,104.14,98.76,0
2024-10-14T22:33:05.076159,EQ001,67.68,2.3,100.41,95.22,0
2024-10-14T23:33:05.076159,EQ001,62.18,2.11,92.24,87.48,0
2024-10-15T00:33:05.076159,EQ001,72.09,2.45,106.94,101.41,0
2024-10-15T01:33:05.076159,EQ001,66.4,2.26,98.5,93.41,0
2024-10-15T02:33:05.076159,EQ001,65.85,2.24,97.68,92.64,0
2024-10-15T03:33:05.076159,EQ001,64.62,2.19,95.86,90.91,0
2024-10-15T04:33:05.076159,EQ001,65.34,2.22,96.93,91.92,0
2024-10-15T05:33:05.076159,EQ001,61.84,2.1,91.74,87.0,0
2024-10-15T06:33:05.076159,EQ001,67.34,2.29,99.9,94.74,0
2024-10-15T07:33:05.076159,EQ001,69.77,2.37,103.5,98.15,0
2024-10-15T08:33:05.076159,EQ001,72.63,2.47,107.74,102.18,0
2024-10-15T09:33:05.076159,EQ001,62.49,2.12,92.71,87.92,0
2024-10-15T10:33:05.076159,EQ001,70.47,2.39,104.54,99.14,0
2024-10-15T11:33:05.076159,EQ001,65.74,2.23,97.53,92.49,0
2024-10-15T12:33:05.076159,EQ001,65.41,2.22,97.04,92.02,0
2024-10-15T13:33:05.076159,EQ001,67.68,2.3,100.41,95.22,0
2024-10-15T14:33:05.076159,EQ001,73.17,2.49,108.54,102.93,0
2024-10-15T15:33:05.076159,EQ001,74.24,2.52,110.13,104.44,0
2024-10-15T16:33:05.076159,EQ001,68.21,2.32,101.19,95.96,0
2024-10-15T17:33:05.076159,EQ001,63.37,2.15,94.01,89.15,0
2024-10-15T18:33:05.076159,EQ001,62.51,2.12,92.73,87.94,0
2024-10-15T19:33:05.076159,EQ001,68.53,2.33,101.67,96.42,0
2024-10-15T20:33:05.076159,EQ001,69.82,2.37,103.57,98.22,0
2024-10-15T21:33:05.076159,EQ001,63.15,2.14,93.68,88.84,0
2024-10-15T22:33:05.076159,EQ001,68.37,2.32,101.43,96.19,0
2024-10-15T23:33:05.076159,EQ001,62.57,2.13,92.82,88.03,0
2024-10-16T00:33:05.076159,EQ001,73.12,2.48,108.48,102.87,0
2024-10-16T01:33:05.076159,EQ001,71.2,2.42,105.62,100.16,0
2024-10-16T02:33:05.076159,EQ001,73.94,2.51,109.69,104.02,0
2024-10-16T03:33:05.076159,EQ001,63.25,2.15,93.83,88.98,0
2024-10-16T04:33:05.076159,EQ001,71.55,2.43,106.14,100.65,0
2024-10-16T05:33:05.076159,EQ001,66.23,2.25,98.25,93.17,0
2024-10-16T06:33:05.076159,EQ001,62.34,2.12,92.48,87.7,0
2024-10-16T07:33:05.076159,EQ001,67.97,2.31,100.84,95.63,0
2024-10-16T08:33:05.076159,EQ001,63.33,2.15,93.95,89.09,0
2024-10-16T09:33:05.076159,EQ001,64.34,2.19,95.45,90.52,0
2024-10-16T10:33:05.076159,EQ001,68.01,2.31,100.88,95.67,0
2024-10-16T11:33:05.076159,EQ001,68.84,2.34,102.13,96.85,0
2024-10-16T12:33:05.076159,EQ001,72.59,2.47,107.68,102.12,0
2024-10-16T13:33:05.076159,EQ001,68.18,2.32,101.14,95.92,0
2024-10-16T14:33:05.076159,EQ001,68.8,2.34,102.07,96.8,0
2024-10-16T15:33:05.076159,EQ001,63.25,2.15,93.83,88.98,0
2024-10-16T16:33:05.076159,EQ001,63.99,2.17,94.93,90.03,0
2024-10-16T17:33:05.076159,EQ001,63.62,2.16,94.38,89.5,0
2024-10-16T18:33:05.076159,EQ001,70.84,2.41,105.08,99.66,0
2024-10-16T19:33:05.076159,EQ001,69.15,2.35,102.58,97.28,0
