timestamp,equipment_id,temperature,vibration,pressure,oil_level,anomaly_detected,anomaly_score
2023-01-01 08:00:00,TURBINE004,78.5,2.4,95.3,92.1,false,0.07
2023-01-01 12:00:00,TURBINE004,80.2,2.5,96.6,91.9,false,0.08
2023-01-01 16:00:00,TURBINE004,82.1,2.6,97.4,91.7,false,0.09
2023-01-02 08:00:00,TURBINE004,78.8,2.4,95.6,92.0,false,0.07
2023-01-02 12:00:00,TURBINE004,80.5,2.5,96.9,91.8,false,0.08
2023-01-02 16:00:00,TURBINE004,82.4,2.6,97.7,91.6,false,0.09
2023-01-03 08:00:00,TURBINE004,79.1,2.4,95.9,91.9,false,0.08
2023-01-03 12:00:00,TURBINE004,80.8,2.6,97.2,91.7,false,0.09
2023-01-03 16:00:00,TURBINE004,82.7,2.7,98.0,91.5,false,0.10
2023-01-04 08:00:00,TURBINE004,79.4,2.5,96.2,91.8,false,0.08
2023-01-04 12:00:00,TURBINE004,81.1,2.6,97.5,91.6,false,0.09
2023-01-04 16:00:00,TURBINE004,83.0,2.7,98.3,91.4,false,0.10
2023-01-05 08:00:00,TURBINE004,79.7,2.5,96.5,91.7,false,0.08
2023-01-05 12:00:00,TURBINE004,81.4,2.6,97.8,91.5,false,0.09
2023-01-05 16:00:00,TURBINE004,83.3,2.7,98.6,91.3,false,0.10
2023-01-06 08:00:00,TURBINE004,80.0,2.5,96.8,91.6,false,0.09
2023-01-06 12:00:00,TURBINE004,81.7,2.7,98.1,91.4,false,0.10
2023-01-06 16:00:00,TURBINE004,83.6,2.8,98.9,91.2,false,0.11
2023-01-07 08:00:00,TURBINE004,80.3,2.6,97.1,91.5,false,0.09
2023-01-07 12:00:00,TURBINE004,82.0,2.7,98.4,91.3,false,0.10
2023-01-07 16:00:00,TURBINE004,83.9,2.8,99.2,91.1,false,0.11
2023-01-08 08:00:00,TURBINE004,80.6,2.6,97.4,91.4,false,0.09
2023-01-08 12:00:00,TURBINE004,82.3,2.7,98.7,91.2,false,0.10
2023-01-08 16:00:00,TURBINE004,84.2,2.8,99.5,91.0,false,0.11
2023-01-09 08:00:00,TURBINE004,80.9,2.6,97.7,91.3,false,0.10
2023-01-09 12:00:00,TURBINE004,82.6,2.8,99.0,91.1,false,0.11
2023-01-09 16:00:00,TURBINE004,84.5,2.9,99.8,90.9,false,0.12
2023-01-10 08:00:00,TURBINE004,81.2,2.7,98.0,91.2,false,0.10
2023-01-10 12:00:00,TURBINE004,82.9,2.8,99.3,91.0,false,0.11
