timestamp,equipment_id,temperature,vibration,pressure,oil_level,anomaly_detected,anomaly_score
2023-01-01 08:00:00,HVAC002,65.3,1.8,115.6,88.5,false,0.09
2023-01-01 12:00:00,HVAC002,67.8,1.9,116.4,88.3,false,0.10
2023-01-01 16:00:00,HVAC002,68.4,2.0,117.1,88.1,false,0.11
2023-01-02 08:00:00,HVAC002,65.7,1.8,115.8,88.4,false,0.09
2023-01-02 12:00:00,HVAC002,68.2,2.0,116.7,88.2,false,0.10
2023-01-02 16:00:00,HVAC002,68.9,2.1,117.4,87.9,false,0.12
2023-01-03 08:00:00,HVAC002,66.2,1.9,116.1,88.3,false,0.10
2023-01-03 12:00:00,HVAC002,68.7,2.0,117.0,88.1,false,0.11
2023-01-03 16:00:00,HVAC002,69.3,2.1,117.6,87.8,false,0.13
2023-01-04 08:00:00,HVAC002,66.6,1.9,116.4,88.2,false,0.10
2023-01-04 12:00:00,HVAC002,69.1,2.1,117.3,87.9,false,0.12
2023-01-04 16:00:00,HVAC002,69.8,2.2,118.0,87.6,false,0.14
2023-01-05 08:00:00,HVAC002,67.1,2.0,116.7,88.1,false,0.11
2023-01-05 12:00:00,HVAC002,69.6,2.1,117.6,87.8,false,0.13
2023-01-05 16:00:00,HVAC002,70.2,2.2,118.3,87.5,false,0.15
2023-01-06 08:00:00,HVAC002,67.5,2.0,117.0,88.0,false,0.12
2023-01-06 12:00:00,HVAC002,70.0,2.2,117.9,87.7,false,0.14
2023-01-06 16:00:00,HVAC002,70.7,2.3,118.6,87.4,false,0.16
2023-01-07 08:00:00,HVAC002,68.0,2.1,117.3,87.9,false,0.13
2023-01-07 12:00:00,HVAC002,70.5,2.2,118.2,87.6,false,0.15
2023-01-07 16:00:00,HVAC002,71.1,2.3,118.9,87.3,false,0.17
2023-01-08 08:00:00,HVAC002,68.4,2.1,117.6,87.8,false,0.14
2023-01-08 12:00:00,HVAC002,70.9,2.3,118.5,87.5,false,0.16
2023-01-08 16:00:00,HVAC002,71.6,2.4,119.2,87.2,false,0.18
2023-01-09 08:00:00,HVAC002,68.9,2.2,117.9,87.7,false,0.15
2023-01-09 12:00:00,HVAC002,71.4,2.3,118.8,87.4,false,0.17
2023-01-09 16:00:00,HVAC002,72.0,2.4,119.5,87.1,false,0.19
2023-01-10 08:00:00,HVAC002,69.3,2.2,118.2,87.6,false,0.16
2023-01-10 12:00:00,HVAC002,71.8,2.4,119.1,87.3,false,0.18
2023-01-10 16:00:00,HVAC002,72.5,2.5,119.8,87.0,false,0.20
2023-01-11 08:00:00,HVAC002,69.8,2.3,118.5,87.5,false,0.17
2023-01-11 12:00:00,HVAC002,72.3,2.4,119.4,87.2,false,0.19
2023-01-11 16:00:00,HVAC002,72.9,2.5,120.1,86.9,false,0.21
2023-01-12 08:00:00,HVAC002,70.2,2.3,118.8,87.4,false,0.18
2023-01-12 12:00:00,HVAC002,72.7,2.5,119.7,87.1,false,0.20
2023-01-12 16:00:00,HVAC002,73.4,2.6,120.4,86.8,false,0.22
2023-01-13 08:00:00,HVAC002,70.7,2.4,119.1,87.3,false,0.19
2023-01-13 12:00:00,HVAC002,73.2,2.5,120.0,87.0,false,0.21
2023-01-13 16:00:00,HVAC002,73.8,2.6,120.7,86.7,false,0.23
2023-01-14 08:00:00,HVAC002,71.1,2.4,119.4,87.2,false,0.20
2023-01-14 12:00:00,HVAC002,73.6,2.6,120.3,86.9,false,0.22
2023-01-14 16:00:00,HVAC002,74.3,2.7,121.0,86.6,false,0.24
2023-01-15 08:00:00,HVAC002,71.6,2.5,119.7,87.1,false,0.21
2023-01-15 12:00:00,HVAC002,74.1,2.6,120.6,86.8,false,0.23
2023-01-15 16:00:00,HVAC002,74.7,2.7,121.3,86.5,false,0.25
2023-01-16 08:00:00,HVAC002,72.0,2.5,120.0,87.0,false,0.22
2023-01-16 12:00:00,HVAC002,74.5,2.7,120.9,86.7,false,0.24
